OTU	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
OTU120	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	1	0	23	0	0	0	1	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0
OTU122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
OTU123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4	0	0	5	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7	0	0
OTU124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	2	0
OTU125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	14	0	0	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0
OTU126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	0	0	5	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	7	4	0
OTU129	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	21	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU130	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	7	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	6	0	0
OTU131	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	3	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	1	0
OTU132	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	3	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
OTU133	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	15	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	3	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	9	1	0
OTU135	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	9	0	0	6	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0
OTU136	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
